Año,Premiada,País,Categoría,Motivación,Fecha_Scraping
1903,"Curie, MarieMarie Curie(compartido conPierre CurieyHenri Becquerel)",FranciaPolonia,Física,«En reconocimiento a los extraordinarios servicios que han prestado con sus investigaciones conjuntas sobre los fenómenos de la radiación descubierta junto al profesor Henri Becquerel».[9]​,2025-05-25 23:16:06
1905,"Suttner, Bertha vonBertha von Suttner",Austria-Hungría,Paz,"Presidenta honoraria de laOficina Internacional por la Paz,Berna,Suiza. Autora deLay Down Your Arms.[11]​",2025-05-25 23:16:06
1909,"Lagerlof, SelmaSelma Lagerlöf",SueciaSuecia,Literatura,"«En reconocimiento al elevado idealismo, la vívida imaginación y la percepción espiritual que caracterizan sus escritos».[12]​",2025-05-25 23:16:06
1911,"Curie, MarieMarie Curie",FranciaPolonia,Química,Por su descubrimiento delradioy elpolonio.[13]​,2025-05-25 23:16:06
1926,"Deledda, GraziaGrazia Deledda",Italia,Literatura,"«Por sus escritos inspiradamente idealistas, que con claridad plástica dibujan la vida en su isla natal y que con profundidad y simpatía tratan los problemas humanos en general».[14]​",2025-05-25 23:16:06
1928,"Undset, SigridSigrid Undset","NoruegaNoruega(nacida enKalundborg, actualDinamarca)",Literatura,«Principalmente por sus poderosas descripciones de la vida de los nórdicos durante la Edad Media».[15]​,2025-05-25 23:16:06
1931,"Addams, JaneJane Addams(compartido conNicholas Murray Butler)",Estados Unidos,Paz,"Socióloga, pionera del trabajo social y el feminismo, presidenta de laLiga Internacional de Mujeres por la Paz y la Libertad.[16]​[17]​",2025-05-25 23:16:06
1935,"Joliot-Curie, IreneIrène Joliot-Curie(compartido conFrédéric Joliot-Curie)",Francia,Química,«Por su síntesis de nuevos elementos radiactivos».[18]​,2025-05-25 23:16:06
1938,"Buck, Pearl S.Pearl S. Buck",Estados Unidos,Literatura,«Por sus descripciones ricas y verdaderamente épicas de la vida campesina en China y por sus obras maestras biográficas».[19]​,2025-05-25 23:16:06
1945,"Mistral, GabrielaGabriela Mistral",ChileChile,Literatura,"«Por su poesía lírica que, inspirada por poderosas emociones, ha hecho de su nombre un símbolo de las aspiraciones idealistas de todo el mundo latinoamericano».[20]​",2025-05-25 23:16:06
1946,"Balch, Emily GreeneEmily Greene Balch(compartido conJohn Raleigh Mott)",Estados Unidos,Paz,"Anteriormente profesora de Historia y Sociología, presidenta honoraria de la Liga Internacional de Mujeres por la Paz y la Libertad.[21]​",2025-05-25 23:16:06
1947,"Cori, Gerty TheresaGerty Theresa Cori(compartido conCarl Ferdinand CoriyBernardo Houssay)","Estados Unidos(nacida enPraga, actualRepública Checa)",Fisiología o Medicina,«Por su descubrimiento del proceso de la conversión catalítica delglucógeno».[22]​,2025-05-25 23:16:06
1963,"Goeppert-Mayer, MariaMaria Goeppert-Mayer(compartido conJ. Hans D. JensenyEugene Wigner)","Estados Unidos(nacida enKatowice, actualPolonia)",Física,«Por sus descubrimientos sobre laestructura de capas nuclear».[23]​,2025-05-25 23:16:06
